id,symbol,direction,score,opened_at,pnl_pips_flat12,outcome_flat12,actual_pnl_pips,threshold,cum_pips
142,EURUSD,SHORT,80.0,2026-04-24 10:18:24.807082+00:00,-16.20000000000177,SL,-18.000000000000238,65,-12.87027067096324
143,CHFJPY,SHORT,75.0,2026-04-24 10:18:25.642809+00:00,12.0,TP,26.987265131135132,65,-0.8702706709632402
144,EURGBP,SHORT,75.0,2026-04-24 11:01:03.765646+00:00,12.0,TP,-9.60000000000072,65,11.12972932903676
145,USDCHF,SHORT,80.0,2026-04-24 12:00:44.441700+00:00,-13.500000000000734,SL,-13.500000000000734,65,-2.370270670963974
146,GBPJPY,LONG,70.0,2026-04-24 13:00:59.925285+00:00,12.0,TP,27.282933452555085,65,9.629729329036026
147,EURAUD,SHORT,80.0,2026-04-24 15:00:15.504087+00:00,12.0,TP,13.619999999998631,65,21.629729329036024
148,CHFJPY,LONG,69.75,2026-04-26 23:00:10.928006+00:00,12.0,TP,21.18000000000052,65,33.629729329036024
149,EURAUD,SHORT,80.0,2026-04-27 00:00:21.984081+00:00,12.0,TP,19.800000000000928,65,45.629729329036024
150,USDCHF,LONG,90.0,2026-04-27 17:00:35.877563+00:00,-13.299999999999423,SL,12.720000000000065,65,32.3297293290366
151,EURGBP,SHORT,80.0,2026-04-27 19:00:03.782985+00:00,12.0,TP,5.760000000000431,65,44.3297293290366
152,EURAUD,SHORT,81.76,2026-04-28 08:39:47.703905+00:00,-26.699999999999502,SL,-23.699999999999832,65,17.6297293290371
157,EURJPY,SHORT,75.0,2026-04-28 14:00:31.882415+00:00,-38.2000000000005,SL,28.439999999999372,65,-20.5702706709634
160,EURJPY,LONG,85.0,2026-04-29 09:00:15.711659+00:00,12.0,TP,3.000000000000682,65,-8.5702706709634
163,EURUSD,SHORT,85.0,2026-04-30 13:30:21.947935+00:00,-20.599999999999508,SL,0.0,65,-29.170270670962907
164,EURJPY,SHORT,70.0,2026-05-03 23:01:12.786913+00:00,12.0,TP,10.113005135116282,65,-17.170270670962907
165,EURJPY,LONG,70.0,2026-05-04 06:00:35.629275+00:00,12.0,TP,-1.500000000001478,65,-5.170270670962907
166,EURAUD,SHORT,73.28,2026-05-04 17:00:23.680357+00:00,12.0,TP,32.16388267703607,65,6.829729329037093
46,NZDUSD,SHORT,70.87,2026-03-27 11:00:21.798770+00:00,12.0,TP,5.599999999998939,70,12.0
49,EURGBP,SHORT,75.0,2026-03-30 04:00:20.479515+00:00,-13.699999999999823,SL,-9.000000000000119,70,-1.6999999999998234
50,EURUSD,LONG,80.0,2026-03-30 06:45:44.659272+00:00,-12.486827859110594,SL,-12.5,70,-14.186827859110418
51,NZDUSD,SHORT,80.0,2026-03-30 07:00:48.771808+00:00,12.0,TP,14.399999999999968,70,-2.1868278591104175
52,EURAUD,LONG,70.0,2026-03-30 11:00:49.921874+00:00,12.0,TP,9.5,70,9.813172140889582
53,USDCHF,SHORT,75.0,2026-03-30 13:00:26.472579+00:00,-12.599999999999278,SL,-12.6,70,-2.786827859109696
54,EURUSD,SHORT,75.0,2026-03-31 02:00:42.033075+00:00,12.0,TP,-14.40000000000108,70,9.213172140890304
56,EURAUD,LONG,85.0,2026-03-31 11:02:11.707133+00:00,-16.300000000000203,SL,-22.7,70,-7.086827859109899
57,EURGBP,SHORT,80.0,2026-03-31 11:08:31.922124+00:00,-8.412619361859441,SL,-8.00000000000023,70,-15.49944722096934
58,USDCHF,LONG,80.0,2026-03-31 12:01:22.097110+00:00,12.0,TP,32.49999999999975,70,-3.4994472209693406
60,USDCHF,SHORT,70.0,2026-03-31 19:38:46.410732+00:00,12.0,TP,-15.399999999999858,70,8.50055277903066
62,EURAUD,SHORT,70.0,2026-04-01 17:00:26.946138+00:00,-17.000000000000348,SL,-17.1,70,-8.499447220969689
63,EURAUD,LONG,75.0,2026-04-01 20:00:23.244413+00:00,12.0,TP,6.5,70,3.5005527790303113
65,EURUSD,SHORT,80.0,2026-04-02 03:57:06.766868+00:00,12.0,TP,-24.200000000000887,70,15.500552779030311
66,EURGBP,LONG,76.35,2026-04-02 03:57:07.266806+00:00,12.0,TP,-3.6000000000002697,70,27.50055277903031
68,USDCHF,LONG,77.4,2026-04-02 15:57:45.567286+00:00,-12.000000000000899,SL,-8.60000000000083,70,15.500552779029412
69,NZDUSD,SHORT,77.72,2026-04-03 00:00:35.858040+00:00,12.0,TP,7.669312624473346,70,27.500552779029412
70,EURGBP,SHORT,80.0,2026-04-03 02:00:45.566028+00:00,12.0,TP,-13.999999999999568,70,39.50055277902941
71,EURAUD,SHORT,85.0,2026-04-03 13:00:39.234689+00:00,12.0,TP,-5.100000000000104,70,51.50055277902941
72,EURAUD,LONG,85.0,2026-04-03 17:00:59.823409+00:00,12.0,TP,9.740051198854792,70,63.50055277902941
73,EURAUD,SHORT,90.0,2026-04-05 23:00:27.844590+00:00,12.0,TP,26.123113914405582,70,75.50055277902942
74,EURGBP,SHORT,75.0,2026-04-06 02:00:59.333085+00:00,12.0,TP,-6.599999999999939,70,87.50055277902942
75,EURUSD,LONG,80.0,2026-04-06 16:00:06.036099+00:00,-14.836591984914715,SL,-7.299999999998974,70,72.6639607941147
76,USDCHF,SHORT,80.0,2026-04-06 16:01:07.124467+00:00,12.0,TP,-9.20000000000032,70,84.6639607941147
77,EURAUD,SHORT,80.0,2026-04-07 00:29:26.227920+00:00,-32.60567633263545,SL,-32.70000000000106,70,52.05828446147925
78,NZDUSD,SHORT,85.0,2026-04-07 09:00:44.260584+00:00,12.0,TP,15.499999999999403,70,64.05828446147925
79,EURUSD,SHORT,85.0,2026-04-07 13:29:48.215761+00:00,-19.78858282437379,SL,-20.000000000000018,70,44.269701637105456
80,NZDUSD,LONG,70.0,2026-04-07 14:22:02.730532+00:00,12.0,TP,22.699999999999942,70,56.269701637105456
81,USDCHF,SHORT,80.0,2026-04-07 19:00:04.369635+00:00,12.0,TP,15.699999999999603,70,68.26970163710546
85,NZDUSD,LONG,70.0,2026-04-08 23:00:08.094077+00:00,12.0,TP,-1.100000000000545,70,80.26970163710546
86,EURUSD,LONG,70.0,2026-04-09 05:00:03.292219+00:00,-8.999999999999009,SL,-9.300000000000974,70,71.26970163710645
87,USDCHF,SHORT,80.0,2026-04-09 13:00:32.523500+00:00,12.0,TP,-7.399999999999629,70,83.26970163710645
