id,symbol,direction,entry_price,target_1,target_2,stop_loss,close_price,pnl,pnl_pips,close_reason,partial_closed,partial_close_price,partial_close_at,opened_at,closed_at,lot_size,intended_entry,intended_sl,slippage,mt5_ticket,mt5_ticket_partial,pnl_estimated,pattern_id,pattern_metadata
128,EURAUD,LONG,1.6432099999999998,1.64815,1.6497450000000002,1.6423567646235808,1.6429399999999998,-12.89,-2.6999999999999247,INVALIDATION,0,,,2026-04-21 04:00:37.283291,2026-04-21 11:01:02.591379,1.51,1.6424400000000001,1.642506764623581,0.0007699999999997154,1602813932,1602813259,0,737,"{""kz_name"": ""asian"", ""kz_high"": 1.64815, ""kz_low"": 1.6432799999999999, ""kz_range"": 0.004870000000000152, ""rejection_price"": 1.6424400000000001}"
129,EURUSD,SHORT,1.17646,1.17471,1.173845,1.1777264847904747,1.1752186269771085,114.444641477595,15.46549209156689,TRAILING_STOP,1,1.17471,2026-04-21 15:30:37.800738,2026-04-21 08:00:48.690312,2026-04-21 15:58:05.485614,0.74,1.17755,1.1776364847904748,0.0010900000000000354,1603185584,1603185180,1,746,"{""kz_name"": ""london"", ""kz_high"": 1.17718, ""kz_low"": 1.17471, ""kz_range"": 0.0024699999999999722, ""rejection_price"": 1.17755}"
130,EURGBP,LONG,0.87131,0.8716,0.8725400000000001,0.8701707758195854,0.87046,-27.56,-8.500000000000174,INVALIDATION,0,,,2026-04-21 09:00:09.740344,2026-04-21 11:00:23.204073,0.6,0.87092,0.8702807758195854,0.00039000000000000146,1603290839,1603290321,0,747,"{""kz_name"": ""london"", ""kz_high"": 0.8716, ""kz_low"": 0.87052, ""kz_range"": 0.001080000000000081, ""rejection_price"": 0.87092}"
131,EURAUD,SHORT,1.6419700000000002,1.6409099999999999,1.638635,1.64421,1.6419700000000002,36.25200000000967,6.360000000001698,TRAILING_STOP,1,1.6409099999999999,2026-04-21 19:25:07.054512,2026-04-21 17:00:05.141805,2026-04-21 19:39:17.072533,0.57,1.6423100000000002,1.6440887187578264,0.00034000000000000696,1604433374,1604433218,1,770,"{""kz_name"": ""asian"", ""kz_high"": 1.64336, ""kz_low"": 1.6409099999999999, ""kz_range"": 0.0024500000000000632, ""rejection_price"": 1.6423100000000002}"
132,CHFJPY,SHORT,204.072,203.323,202.8025,204.2971564564942,204.2971564564942,-146.35169672123283,-22.515645649420435,STOP_LOSS,0,,,2026-04-21 20:00:19.639828,2026-04-21 21:04:51.762213,0.65,204.097,204.28215645649422,0.025000000000005684,1604880400,1604880388,1,774,"{""kz_name"": ""asian"", ""kz_high"": 204.186, ""kz_low"": 203.323, ""kz_range"": 0.8629999999999995, ""rejection_price"": 204.097}"
133,EURJPY,SHORT,187.146,186.99,186.8405,187.39326204782745,187.39326204782745,-145.88460821820263,-24.72620478274621,STOP_LOSS,0,,,2026-04-21 20:00:21.432498,2026-04-21 21:03:49.738731,0.59,187.313,187.37626204782745,0.1670000000000016,1604880453,1604880409,1,775,"{""kz_name"": ""london"", ""kz_high"": 187.305, ""kz_low"": 186.99, ""kz_range"": 0.3149999999999977, ""rejection_price"": 187.313}"
134,CHFJPY,LONG,204.0,204.422,204.6215,203.813,203.813,-143.9900000000091,-18.700000000001182,STOP_LOSS,0,,,2026-04-22 10:01:11.176060,2026-04-22 11:10:18.312691,0.77,203.879,203.8198493565248,0.12100000000000932,1605904789,1605904436,1,788,"{""kz_name"": ""ny_evening"", ""kz_high"": 204.422, ""kz_low"": 203.927, ""kz_range"": 0.49500000000000455, ""rejection_price"": 203.879}"
135,GBPJPY,LONG,215.107,215.419,215.72700000000003,214.942,214.936,-93.43,-17.099999999999227,STOP_LOSS,1,214.936,,2026-04-22 11:37:31.652040,2026-04-22 12:12:31.183505,0.87,215.184,214.95947378188998,-0.07699999999999818,1606063750,1606063734,0,793,"{""kz_name"": ""ny_evening"", ""kz_high"": 215.419, ""kz_low"": 215.057, ""kz_range"": 0.3620000000000232, ""rejection_price"": 215.184}"
136,NZDUSD,LONG,0.59077,0.59127,0.5924299999999999,0.58929,0.59077,17.999999999998018,2.9999999999996696,TRAILING_STOP,1,0.59127,2026-04-22 13:45:01.829800,2026-04-22 12:00:42.769808,2026-04-22 14:58:49.829087,0.6,0.59036,0.5893164593689398,0.00041000000000002146,1606113182,1606113102,1,794,"{""kz_name"": ""ny_morning"", ""kz_high"": 0.59127, ""kz_low"": 0.58989, ""kz_range"": 0.0013799999999999368, ""rejection_price"": 0.59036}"
137,EURUSD,SHORT,1.17417,1.17303,1.171835,1.1758859072133188,1.17174,50.82,24.299999999999322,TARGET_2,1,1.17303,2026-04-22 14:33:03.664306,2026-04-22 14:00:28.291031,2026-04-22 15:01:21.129573,0.52,1.175,1.1757959072133188,0.0008300000000001084,1606429001,1606428981,0,798,"{""kz_name"": ""asian"", ""kz_high"": 1.17514, ""kz_low"": 1.17303, ""kz_range"": 0.0021100000000000563, ""rejection_price"": 1.175}"
138,NZDUSD,SHORT,0.59036,0.5882,0.5873449999999998,0.5914611016301909,0.5914611016301909,-89.18923204546681,-11.011016301909482,STOP_LOSS,0,,,2026-04-22 19:00:06.512348,2026-04-22 21:04:54.753058,0.81,0.5912,0.5913011016301909,0.0008399999999999519,1607020471,1607020326,1,806,"{""kz_name"": ""asian"", ""kz_high"": 0.59077, ""kz_low"": 0.5882, ""kz_range"": 0.0025700000000000722, ""rejection_price"": 0.5912}"
139,EURAUD,SHORT,1.63538,1.6349,1.632035,1.6385,1.63855,-87.78999999999999,-31.69999999999895,STOP_LOSS,1,1.63855,,2026-04-23 15:00:07.371980,2026-04-23 17:21:36.217019,0.39,1.63592,1.6383679779357578,0.0005399999999999849,1609032567,1609032520,0,818,"{""kz_name"": ""london"", ""kz_high"": 1.6374900000000001, ""kz_low"": 1.6349, ""kz_range"": 0.0025900000000000922, ""rejection_price"": 1.63592}"
